Concept,Sku,Shoot Date,Photographer,Stylist,Offline-CC,Comments,Status
HomeBox,6299183915070,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,165577239,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,165577238,05/03/23,Pratik,Gene,CC,,Shot
HomeBox,6299183610982,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183611019,05/03/23,Sebak,Jenifer C,CC,,Shot
HomeBox,162338272,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162338273,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162338270,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162338271,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162769225,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165075491,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,165075499,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162769226,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162769227,05/02/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,6299183779054,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610883,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610845,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610890,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610869,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610821,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610838,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610852,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610944,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183779047,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183779030,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610937,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610913,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610906,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299183610920,05/02/23,Sebak,Jenifer C,CC,,Shot
HomeBox,6299182531806,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299183809294,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299182531813,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299183809300,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299183809287,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299183809270,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6296162021531,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,4891199000478,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,4891199000133,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6296162055130,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6296162050739,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6296162034531,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,6299183809317,05/01/23,Sebak,Gene,CC,,Shot
HomeBox,162858278,05/01/23,Pratik,Gene,OFFLINE,,Shot
HomeBox,162858301,05/01/23,Pratik,Gene,OFFLINE,,Shot
